t,Semester,Year,Enrollment,date
1,Fall,1989,20110,8/31/1989
2,Spring,1990,19128,2/1/1990
3,Summer,1990,7553,6/1/1990
4,Fall,1990,19591,8/31/1990
5,Spring,1991,18361,2/1/1991
6,Summer,1991,6702,6/1/1991
7,Fall,1991,19476,8/31/1991
8,Spring,1992,18249,2/1/1992
9,Summer,1992,6846,6/1/1992
10,Fall,1992,19477,8/31/1992
11,Spring,1993,18172,2/1/1993
12,Summer,1993,6652,6/1/1993
13,Fall,1993,19001,8/31/1993
14,Spring,1994,17862,2/1/1994
15,Summer,1994,6988,6/1/1994
16,Fall,1994,18561,8/31/1994
17,Spring,1995,17496,2/1/1995
18,Summer,1995,7152,6/1/1995
19,Fall,1995,19125,8/31/1995
20,Spring,1996,17926,2/1/1996
21,Summer,1996,7010,6/1/1996
22,Fall,1996,19201,8/31/1996
23,Spring,1997,17828,2/1/1997
24,Summer,1997,6621,6/1/1997
25,Fall,1997,19350,8/31/1997
26,Spring,1998,18323,2/1/1998
27,Summer,1998,7105,6/1/1998
28,Fall,1998,20466,8/31/1998
29,Spring,1999,19465,2/1/1999
30,Summer,1999,7503,6/1/1999
31,Fall,1999,21087,8/31/1999
32,Spring,2000,19835,2/1/2000
33,Summer,2000,7202,6/1/2000
34,Fall,2000,21252,8/31/2000
35,Spring,2001,20004,2/1/2001
36,Summer,2001,7558,6/1/2001
37,Fall,2001,21872,8/31/2001
38,Spring,2002,20922,2/1/2002
39,Summer,2002,7868,6/1/2002
40,Fall,2002,22992,8/31/2002
