WeekStart,Open,High,Low,Close,AdjClose,Volume
1/1/1995,459.21,462.49,457.20,460.68,460.68,1199080000
1/8/1995,460.67,466.43,458.65,465.97,465.97,1627330000
1/15/1995,465.97,470.43,463.99,464.78,464.78,1667400000
1/22/1995,464.78,471.36,461.14,470.39,470.39,1628110000
1/29/1995,470.39,479.91,467.49,478.65,478.65,1888560000
2/5/1995,478.64,482.60,478.36,481.46,481.46,1579920000
2/12/1995,481.46,485.54,480.89,481.97,481.97,1643990000
2/19/1995,481.95,489.19,481.94,488.11,488.11,1344760000
2/26/1995,488.26,488.26,483.07,485.42,485.42,1626480000
3/5/1995,485.42,490.37,479.70,489.57,489.57,1706460000
3/12/1995,489.57,496.67,489.35,495.52,495.52,1685030000
3/19/1995,495.52,500.97,493.67,500.97,500.97,1658870000
3/26/1995,500.97,508.15,495.70,500.71,500.71,1718570000
4/2/1995,500.70,507.19,500.20,506.42,506.42,1577400000
4/9/1995,506.30,509.83,504.61,509.23,509.23,1201100000
4/16/1995,509.23,512.03,501.19,508.49,508.49,1828360000
4/23/1995,508.49,515.29,507.44,514.71,514.71,1700170000
4/30/1995,514.76,525.40,513.03,520.12,520.12,1769130000
5/7/1995,520.09,527.05,519.14,525.55,525.55,1736000000
5/14/1995,525.55,529.08,517.07,519.19,519.19,1736260000
5/21/1995,519.19,531.91,519.19,523.65,523.65,1673100000
5/28/1995,523.65,536.91,521.38,532.51,532.51,1353120000
6/4/1995,532.51,537.73,526.00,527.94,527.94,1623250000
6/11/1995,527.94,539.98,527.94,539.83,539.83,1737790000
6/18/1995,539.83,551.07,539.83,549.71,549.71,1846230000
6/25/1995,549.71,549.79,540.72,544.75,544.75,1636460000
7/2/1995,544.75,556.57,544.43,556.37,556.37,1362790000
7/9/1995,556.37,562.00,553.80,559.89,559.89,1903260000
7/16/1995,560.34,562.94,542.51,553.62,553.62,1999830000
7/23/1995,553.62,565.40,553.62,562.93,562.93,1750130000
7/30/1995,562.93,565.62,554.10,558.94,558.94,1666340000
8/6/1995,558.94,561.59,553.04,555.11,555.11,1461040000
8/13/1995,555.11,561.24,554.76,559.21,559.21,1660110000
8/20/1995,559.21,563.34,555.20,560.10,560.10,1441170000
8/27/1995,560.10,564.62,555.71,563.84,563.84,1466640000
9/3/1995,563.86,572.68,563.84,572.68,572.68,1341870000
9/10/1995,572.68,585.07,572.68,583.35,583.35,1868010000
9/17/1995,583.35,586.79,578.25,581.73,581.73,1835200000
9/24/1995,581.73,587.61,574.68,584.41,584.41,1751020000
10/1/1995,584.41,585.05,578.48,582.49,582.49,1711470000
10/8/1995,582.49,587.39,571.55,584.50,584.50,1747510000
10/15/1995,584.50,590.66,581.90,587.46,587.46,1864380000
10/22/1995,587.46,587.46,572.53,579.70,579.70,2023410000
10/29/1995,579.70,590.57,579.70,590.57,590.57,1820210000
11/5/1995,590.57,593.90,584.24,592.72,592.72,1713010000
11/12/1995,592.72,600.14,588.36,600.07,600.07,1886840000
11/19/1995,600.07,600.71,595.42,599.97,599.97,1272320000
11/26/1995,599.97,608.69,599.02,606.98,606.98,1999630000
12/3/1995,606.98,621.11,606.84,617.48,617.48,1967780000
12/10/1995,617.48,622.88,614.46,616.34,616.34,2209320000
