time,x
1,1.31
2,13.67
3,6.29
4,-0.95
5,9.59
6,-0.45
7,17.22
8,-6.88
9,10.36
10,12.53
11,4.22
12,17.19
13,26.02
14,19.14
15,23.55
16,30.05
17,21.61
18,26.86
19,36.59
20,10.67
21,26.58
22,19.81
23,31.54
24,22.74
25,37.87
26,35.86
27,48.18
28,36.16
29,37.1
30,43.03
31,27.79
32,33.05
33,22.76
34,36.72
35,43.67
36,31.76
37,37.28
38,46.81
39,37.46
40,46.5
41,35.61
42,48.56
43,43.68
44,46.54
45,62.4
46,28.79
47,47.88
48,49.36
49,77.58
50,41.47
51,54.95
52,24.1
53,27.68
54,55.36
55,41.44
56,76.86
57,51.43
58,41.03
59,51.94
60,47.14
61,54.05
62,48.72
63,53.41
64,69.12
65,83.26
66,62.53
67,76.77
68,52.98
69,61.83
70,67.64
71,66.08
72,80.28
73,87.4
74,88.11
75,65.85
76,82.29
77,97.92
78,79.62
79,81.3
80,58.63
81,89.71
82,85.11
83,70.66
84,74.24
85,74.27
86,66.52
87,85.93
88,95.23
89,87.26
90,74.88
91,73.44
92,89.44
93,62.11
94,90.01
95,92.69
96,91.22
97,100
98,102.8
99,93.82
100,108.72
